LigandID;heavyAtomSize;flexibility
0RZ;17;0.185185
0S0;20;0.0967742
0S1;19;0.128205
0S2;27;0.118644
0S3;27;0.12069
0S4;33;0.164384
0S5;30;0.180328
0S6;28;0.08
0S7;23;0.146341
0S8;26;0.1875
0S9;29;0.153846
0SA;34;0.189873
0SB;29;0.0961538
0SC;37;0.0666667
0SD;36;0.0675676
0SE;34;0.0714286
0SF;38;0.196721
0SG;53;0.278689
0SH;50;0.271318
0SJ;23;0.0465116
0SK;28;0.0612245
0SL;22;0.0731707
0SM;36;0.27957
0SN;35;0.21875
0SO;31;0.179104
0SP;30;0.206897
0SQ;20;0.097561
0SR;29;0.140625
0SS;47;0.13
0ST;28;0.131148
0SU;23;0.145833
0SV;26;0.175439
0SW;19;0.111111
0SX;20;0.0285714
0SY;16;0.0344828
0SZ;22;0.0769231
0T0;23;0.0930233
0T1;48;0.227273
0T2;40;0.161765
0T3;17;0.0625
0T4;23;0.153846
0T5;24;0.157895
0T6;25;0.0697674
0T7;30;0.0862069
0T8;33;0.173913
0T9;31;0.0769231
0TA;23;0.0454545
0TB;27;0.0612245
0TD;11;0.210526
0TE;21;0.0571429
0TF;18;0.268293
0TH;14;0.214286
0TI;12;0
0TJ;24;0.225
0TK;13;0.24
0TM;29;0.163265
0TN;51;0
0TO;22;0.105263
0TP;26;0.0816327
0TQ;45;0.153846
0TR;9;0
0TS;56;0.116071
0TT;34;0.0923077
0TU;12;0
0TX;22;0.163265
0TZ;23;0.0769231
0U;21;0.114286
0U0;29;0.104167
0U1;22;0.131579
0U3;33;0.164384
0U4;53;0.172727
0U5;40;0.126582
0U6;39;0.118421
0U7;23;0.09375
0U8;22;0.0454545
0U9;29;0.181818
0UA;24;0.0909091
0UB;34;0.147059
0UC;25;0.0909091
0UE;40;0.0561798
0UF;37;0.166667
0UH;23;0.102564
0UJ;25;0.08
0UK;63;0.139535
0UL;16;0.037037
0UM;30;0.163934
0UN;35;0.138462
0UO;17;0.125
0UP;33;0.0735294
0UQ;32;0.0746269
0US;40;0.13253
0UT;17;0.1
0UU;35;0.109589
0UV;42;0.1
0UX;31;0.0895522
0UZ;13;0.0952381
0V0;25;0.145833
0V2;41;0.111111
0V3;35;0.115942
0V4;35;0.0731707
0V5;10;0.1875
0V6;25;0.0681818
0V7;15;0.185185
0V8;15;0.185185
0VA;30;0.156863
0VB;33;0.169492
0VC;19;0.162791
0VD;25;0.166667
0VE;29;0.127273
0VF;37;0.138462
0VG;28;0.0740741
0VH;26;0.113208
0VJ;22;0.0789474
0VK;34;0.148649
0VM;29;0.136364
0VN;22;0.0952381
0VO;30;0.169231
0VP;35;0.155844
0VQ;34;0.180328
0VR;23;0.219512
0VS;33;0.22807
0VT;9;0.136364
0VU;31;0.105263
0VV;15;0.0384615
0VW;11;0.047619
0VX;10;0.0588235
0VY;12;0.0833333
0VZ;15;0.153846
0W0;45;0.225352
0W1;13;0.0454545
0W2;37;0.105263
0W3;50;0.186992
0W5;15;0.222222
0W6;8;0.166667
0W7;23;0.116279
0W8;12;0.0434783
0WA;20;0.09375
0WB;22;0.117647
0WC;27;0.0869565
0WD;48;0.158537
0WE;28;0.111111
0WF;28;0.0877193
0WG;24;0.047619
0WH;33;0.0877193
0WK;15;0.107143
0WL;27;0.0740741
0WM;34;0.145161
0WN;34;0.15625
0WO;29;0.134615
0WP;36;0.152542
0WR;39;0.0722892
0WS;14;0.0909091
0WT;26;0.0833333
0WU;11;0.04
0WV;11;0.0434783
0WW;31;0.126984
0WX;33;0.125
0WY;34;0.126761
0WZ;18;0.125
0X0;32;0.164179
0X1;37;0.126984
0X2;18;0.111111
0X3;21;0.103448
0X5;23;0.157895
0X6;25;0.179487
0X9;16;0.266667
0XA;37;0.075
0XB;20;0.103448
0XC;10;0.238095
0XD;9;0.235294
0XE;32;0.0754717
0XF;26;0.0943396
0XG;28;0.145833
0XH;24;0.157895
0XJ;27;0.0666667
0XL;9;0.142857
0XM;14;0.0714286
0XN;16;0.0714286
0XO;11;0.192308
0XP;26;0.179487
0XQ;13;0.21875
0XR;15;0.148148
0XS;19;0.0769231
0XT;15;0.0384615
0XU;27;0.12
0XV;21;0.0512821
0XW;11;0.0416667
0XX;78;0.243243
0XY;16;0.1
0XZ;30;0.12069
0Y0;26;0.142857
0Y1;37;0.140845
0Y2;37;0.142857
0Y3;78;0.243243
0Y4;30;0.134615
0Y5;36;0.111111
0Y7;30;0.122807
0Y8;20;0.0857143
0Y9;9;0.111111
0YA;7;0.0714286
0YB;38;0.106667
0YC;8;0.0625
0YD;23;0.128205
0YE;16;0.142857
0YF;17;0.125
0YG;17;0.172414
0YH;34;0.119403
0YJ;35;0.128571
0YL;34;0.140351
0YN;18;0.111111
0YO;28;0.0612245
0YP;31;0.145455
0YQ;33;0.22807
0YR;12;0.227273
0YS;32;0.185185
0YT;15;0.1
0YU;37;0.145161
0YV;30;0.148148
0YW;32;0.238095
0YX;28;0.210526
0YY;23;0.234043
0YZ;25;0.245283
0Z0;33;0.226415
0Z1;32;0.2
0Z2;30;0.235294
0Z3;36;0.225352
0Z4;33;0.231884
0Z6;35;0.236111
0Z7;38;0.246753
0Z9;25;0.24
0ZA;28;0.0961538
0ZB;27;0.25
0ZC;31;0.135593
0ZD;62;0.189655
0ZE;40;0.146341
0ZG;30;0.133333
0ZI;35;0.157895
0ZJ;35;0.236111
0ZL;38;0.215054
0ZN;35;0.2
0ZO;37;0.232877
0ZP;60;0.180451
0ZQ;50;0.237624
0ZR;51;0.23301
0ZS;51;0.235294
0ZT;51;0.235294
0ZW;33;0.263158
0ZX;33;0.25974
0ZY;30;0.246377
0ZZ;36;0.228571
100;20;0.1
101;22;0.105263
102;32;0.16
103;21;0.0810811
104;10;0.259259
105;20;0.151515
106;23;0.0882353
107;31;0.12
108;17;0.15625
109;17;0.15625
10A;23;0.257143
10B;25;0.173913
10C;22;0.105263
10D;15;0.24
10E;15;0.222222
10F;34;0.169231
10G;15;0.230769
10H;22;0.0681818
10J;33;0.0862069
10K;23;0.139535
10L;10;0
10M;33;0.184211
10N;31;0.12963
10O;33;0.0847458
10P;27;0.142857
10Q;33;0.0892857
10R;31;0.153846
10S;31;0.153846
10T;23;0.104167
10U;27;0.155172
10V;33;0.0847458
10W;32;0.0714286
10X;21;0.27451
10Y;21;0.27451
10Z;29;0.145455
110;40;0.160494
111;28;0.185185
112;35;0.196429
113;23;0.0512821
114;29;0.166667
115;30;0.137931
116;33;0.171429
117;41;0.164557
118;25;0.0833333
119;25;0.0833333
11A;13;0.264706
11B;35;0.238806
11C;11;0.238095
11D;30;0.215385
11E;17;0.148148
11F;27;0.0980392
11G;19;0.0487805
11H;24;0.0588235
11J;22;0.105263
11K;26;0.163636
11M;29;0.0701754
11N;26;0.0754717
11O;22;0.277778
11P;19;0.0909091
11Q;15;0.0810811
11R;60;0.0965517
11S;10;0
11U;28;0.147541
11V;34;0.138462
11W;27;0.183673
11X;14;0.111111
11Y;31;0.106383
11Z;19;0.215686
120;19;0.0606061
121;19;0.0606061
122;19;0.0588235
123;21;0.0789474
124;19;0.0571429
125;25;0.159091
126;32;0.225806
127;26;0.170213
128;46;0.149254
129;10;0.235294
12A;35;0.183333
12B;13;0
12C;30;0.0526316
12D;42;0.145161
12E;23;0.142857
12F;72;0.132813
12G;33;0.113208
12H;15;0.289474
12I;17;0.0285714
12J;20;0.135135
12K;11;0.0769231
12L;11;0.04
12M;10;0.0909091
12N;12;0.148148
12O;33;0.0793651
12P;37;0.395349
12Q;12;0
12R;17;0.103448
12S;30;0.138462
12T;13;0.1
12U;29;0.140625
12V;39;0.161765
12W;9;0.105263
12X;33;0.135593
12Y;32;0.135593
12Z;21;0.097561
130;25;0.0681818
132;26;0.0652174
133;25;0.108696
134;28;0.0727273
135;19;0.121212
136;22;0.111111
137;23;0.219512
138;52;0.206522
139;42;0.140845
13A;21;0.0571429
13C;23;0
13D;5;0.142857
13E;19;0.219512
13F;22;0.0769231
13H;21;0.269231
13I;28;0.0545455
13J;38;0.106667
13K;30;0.107143
13L;38;0.106667
13M;35;0.136364
13N;33;0.0645161
13P;10;0.25
13Q;29;0.109091
13R;22;0.283019
13S;22;0.283019
13T;42;0.0645161
13U;30;0.134328
13V;27;0.137255
13W;23;0.0731707
13X;9;0
13Y;37;0.111111
13Z;26;0.142857
140;22;0.303571
141;11;0
142;16;0.133333
143;17;0.2
144;8;0.157895
145;21;0.108108
146;62;0.122807
147;21;0.108108
148;14;0.25
149;12;0.0454545
14A;27;0.218182
14B;12;0.0434783
14C;19;0.0333333
14D;33;0.1
14E;27;0.152174
14F;14;0.12
14H;28;0.26087
14I;22;0.0606061
14J;9;0.0833333
14K;36;0.104478
14L;27;0
14M;29;0.140625
14N;16;0.0606061
14O;10;0
14Q;30;0.109091
14R;39;0.0833333
14S;34;0.169014
14T;25;0.146341
14U;22;0.280702
14V;24;0.305085
14W;13;0.142857
14X;20;0.0512821
14Y;21;0.285714
14Z;18;0.0882353
150;10;0
151;30;0.145161
152;11;0.153846
153;33;0.169811
154;37;0.145161
155;29;0.0892857
156;27;0.0727273
157;16;0.184211
158;13;0.26087
159;17;0.178571
15A;15;0.09375
15B;37;0.171053
15C;21;0.0555556
15E;13;0
15F;21;0.166667
15G;28;0.104167
15H;32;0.0983607
15I;20;0.0232558
15J;31;0.1
15L;13;0.047619
15M;30;0.191176
15N;13;0.0454545
15O;11;0
15P;104;0.415638
15Q;19;0.0689655
15R;43;0.0759494
15S;35;0.102941
15T;25;0.0980392
15U;35;0.150685
15V;25;0.097561
15W;20;0.0588235
15X;29;0.142857
15Y;15;0.0344828
15Z;20;0.03125
160;35;0.25
161;32;0.207547
162;33;0.179104
163;33;0.179104
164;17;0.172414
165;39;0.141026
166;28;0.142857
167;29;0.152542
168;27;0.258621
169;30;0.222222
16A;20;0.245902
16B;22;0.135135
16C;38;0.298077
16D;8;0.217391
16E;29;0.323077
16F;24;0.136364
16G;19;0.142857
16H;30;0.266667
16I;25;0.097561
16J;21;0.0697674
16K;23;0.105263
16L;22;0.119048
16M;9;0.105263
16N;9;0
16O;24;0.139535
16P;20;0.346939
16Q;9;0.105263
16R;8;0.0625
16S;19;0.0322581
16T;33;0.0862069
16U;23;0.163265
